restaurant_name,location,cuisine,estimated_cost,rating
Jalsa,banashankari,"north indian, mughlai, chinese",800.0,4.1
Spice Elephant,banashankari,"chinese, north indian, thai",800.0,4.1
San Churro Cafe,banashankari,"cafe, mexican, italian",800.0,3.8
Addhuri Udupi Bhojana,banashankari,"south indian, north indian",300.0,3.7
Grand Village,basavanagudi,"north indian, rajasthani",600.0,3.8
Timepass Dinner,basavanagudi,north indian,600.0,3.8
Rosewood International Hotel - Bar & Restaurant,mysore road,"north indian, south indian, andhra, chinese",800.0,3.6
Onesta,banashankari,"pizza, cafe, italian",600.0,4.6
Penthouse Cafe,banashankari,"cafe, italian, continental",700.0,4.0
Smacznego,banashankari,"cafe, mexican, italian, momos, beverages",550.0,4.2
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,banashankari,cafe,500.0,4.1
Cafe Shuffle,banashankari,"cafe, italian, continental",600.0,4.2
The Coffee Shack,banashankari,"cafe, chinese, continental, italian",500.0,4.2
Caf-Eleven,banashankari,"cafe, continental",450.0,4.0
Cafe Vivacity,banashankari,cafe,650.0,3.8
Catch-up-ino,banashankari,"cafe, fast food, continental, chinese, momos",800.0,3.9
Kirthi's Biryani,banashankari,"chinese, cafe, italian",700.0,3.8
T3H Cafe,banashankari,"cafe, italian, american",300.0,3.9
360 Atoms Restaurant And Cafe,banashankari,"cafe, chinese, continental, italian",400.0,3.1
The Vintage Cafe,banashankari,"cafe, french, north indian",400.0,3.0
Woodee Pizza,banashankari,"cafe, pizza, fast food, beverages",500.0,3.7
Cafe Coffee Day,banashankari,"cafe, fast food",900.0,3.6
My Tea House,banashankari,"italian, fast food, cafe, european",600.0,3.6
Hide Out Cafe,banashankari,cafe,300.0,3.7
CAFE NOVA,banashankari,"cafe, bakery",600.0,3.2
Coffee Tindi,banashankari,"cafe, south indian",200.0,3.8
Sea Green Cafe,banashankari,"cafe, fast food, beverages",500.0,3.3
Cuppa,banashankari,"cafe, fast food",550.0,3.3
Srinathji's Cafe,basavanagudi,"north indian, cafe, chinese, fast food",550.0,3.8
Redberrys,basavanagudi,"cafe, italian",600.0,4.0
Foodiction,banashankari,"north indian, fast food, chinese, burger",500.0,2.8
Sweet Truth,banashankari,"bakery, desserts",500.0,3.9
Ovenstory Pizza,banashankari,pizza,750.0,3.9
Faasos,banashankari,"north indian, biryani, fast food",500.0,4.2
Behrouz Biryani,banashankari,biryani,650.0,3.9
Fast And Fresh,banashankari,"north indian, chinese, fast food",400.0,2.8
Szechuan Dragon,banashankari,"chinese, thai, momos",600.0,4.2
Empire Restaurant,jayanagar,"north indian, mughlai, south indian, chinese",750.0,4.4
Maruthi Davangere Benne Dosa,banashankari,south indian,150.0,4.0
Chaatimes,basavanagudi,"street food, fast food",200.0,3.8
Havyaka Mess,banashankari,south indian,300.0,3.9
McDonald's,banashankari,"burger, fast food",500.0,3.9
Domino's Pizza,banashankari,"pizza, fast food",800.0,3.9
Hotboxit,banashankari,"north indian, continental, italian",400.0,3.8
Kitchen Garden,kumaraswamy layout,"north indian, chinese",300.0,3.6
Recipe,kumaraswamy layout,"north indian, chinese, biryani, rolls",450.0,4.0
Beijing Bites,rajarajeshwari nagar,"chinese, thai",850.0,3.7
Tasty Bytes,kumaraswamy layout,"north indian, chinese, momos, rolls",300.0,3.1
Petoo,banashankari,north indian,450.0,3.7
Shree Cool Point,vijay nagar,"fast food, street food, beverages",150.0,4.1
Corner House Ice Cream,banashankari,"ice cream, desserts",400.0,4.3
Biryanis And More,jayanagar,"biryani, north indian, chinese, andhra, south indian",750.0,4.0
Roving Feast,banashankari,"italian, continental, fast food, chinese, momos",450.0,4.0
FreshMenu,banashankari,"healthy food, chinese, biryani, north indian, continental, salad, american, burger",450.0,3.9
Banashankari Donne Biriyani,banashankari,"biryani, fast food",300.0,3.8
Wamama,banashankari,"asian, korean, indonesian, japanese, chinese, thai, momos",800.0,4.2
Five Star Chicken,banashankari,"fast food, burger",200.0,3.6
XO Belgian Waffle,banashankari,"desserts, beverages",400.0,3.7
Peppy Peppers,banashankari,"italian, north indian, mexican",800.0,4.2
Goa 0 Km,kumaraswamy layout,"goan, seafood, north indian, chinese, biryani",800.0,3.6
Chinese Kitchen,basavanagudi,chinese,150.0,3.8
1947,banashankari,"north indian, chinese",850.0,4.0
